,City,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude
495,abnub,62.11,50,2,11.59,27.2696,31.1511
496,vardo,39.24,92,10,8.19,70.3705,31.1107
497,dargaville,73.63,68,31,10.02,-35.9333,173.8833
498,domoni,80.71,83,98,11.54,-12.2569,44.5319
499,sidi bu zayd,,,,,,
500,vedeno,46.6,97,100,2.66,42.9703,46.095
501,aitape,82.78,80,60,4.38,-3.1374,142.3475
502,srednekolymsk,26.28,77,17,1.77,67.45,153.6833
503,guaruja,71.42,80,64,3.8,-23.9931,-46.2564
504,novyy nekouz,38.35,83,9,9.33,57.9029,38.07
505,constitucion,51.46,72,3,10.8,-35.3333,-72.4167
506,lappeenranta,39.2,70,0,9.22,61.0587,28.1887
507,mangan,73.94,56,1,3.29,27.5167,88.5333
508,avera,61.57,65,100,11.97,33.194,-82.5271
509,khandyga,31.15,76,100,4.23,62.6667,135.6
510,dakar,68.88,84,67,9.91,14.6937,-17.4441
511,dornstadt,35.11,85,8,5.12,48.467,9.9443
512,yeppoon,82.18,69,100,13.6,-23.1333,150.7333
513,katha,,,,,,
514,nesbyen,42.37,80,15,3.13,60.5681,9.1027
515,paradwip,,,,,,
516,the pas,30.22,93,100,6.91,53.8251,-101.2541
517,rafraf,59.31,90,100,9.08,37.1904,10.1837
518,zhuhai,74.93,78,84,3.44,22.2769,113.5678
519,umzimvubu,,,,,,
520,ostersund,39.65,81,85,4.61,63.1792,14.6357
521,torbay,42.03,93,100,16.11,47.6666,-52.7314
522,gravdal,42.82,86,100,4.34,68.1214,13.5031
523,belyy yar,39.85,68,0,4.47,53.6039,91.3903
524,hay river,28.67,84,29,4.7,60.8156,-115.7999
525,deputatskiy,21.29,79,83,2.57,69.3,139.9
526,salalah,75.27,74,1,1.81,17.0151,54.0924
527,vitim,28.54,90,100,2.08,59.4511,112.5578
528,tuatapere,54.28,94,100,4.76,-46.1333,167.6833
529,ust-tsilma,19.02,93,70,5.5,65.441,52.1498
530,wampusirpi,,,,,,
531,padang,78.85,69,100,2.19,-0.9492,100.3543
532,chagda,,,,,,
533,callaway,66.24,64,0,6.91,30.153,-85.5699
534,alice,76.86,78,100,17.27,27.7523,-98.0697
535,porto nacional,75.2,87,89,0.47,-10.7081,-48.4172
536,viligili,,,,,,
537,angoche,73.81,94,98,9.91,-16.2325,39.9086
538,el vigia,76.86,82,99,4.76,8.6219,-71.6506
539,sturgis,51.53,55,100,18.41,41.7992,-85.4192
540,krasnoselkup,3.97,91,23,12.59,65.7,82.4667
541,yulara,72.91,21,6,15.14,-25.2406,130.9889
542,vung tau,84.04,73,85,17.78,10.346,107.0843
543,nampula,67.15,97,61,4.65,-15.1165,39.2666
544,mahaicony,,,,,,
545,coihaique,41.72,98,100,4.9,-45.5752,-72.0662
546,juneau,51.84,48,28,3.83,58.3019,-134.4197
547,kyren,38.52,53,90,1.16,51.6828,102.1408
548,sinnamary,76.78,90,100,8.5,5.3833,-52.95
549,kloulklubed,77.5,85,100,11.99,7.0419,134.2556
550,klaksvik,43.72,91,1,16.73,62.2266,-6.589
551,kilindoni,80.73,80,100,14.16,-7.9139,39.6668
552,cartagena del chaira,71.92,99,100,2.62,1.3349,-74.8429
553,batsfjord,37.18,87,98,2.3,70.6345,29.7185
554,saint-joseph,73.53,84,56,3.18,-21.3667,55.6167
555,kedrovyy,39.87,99,100,5.55,56.1667,91.8167
556,guilin,69.31,71,97,2.66,25.2819,110.2864
557,sao jose da coroa grande,79.5,71,76,6.98,-8.8978,-35.1478
558,prieska,63.3,42,100,4.21,-29.6641,22.7474
559,whitehorse,35.33,51,100,4,60.7161,-135.0538
560,verkhoyansk,28.44,90,100,1.79,67.5447,133.385
561,gambela,73.51,88,100,1.63,8.25,34.5833
562,tazovskiy,9.41,94,100,11.32,67.4667,78.7
563,halalo,,,,,,
564,boshnyakovo,46.18,74,87,11.01,49.6333,142.1667
565,mayumba,76.68,91,100,4.43,-3.432,10.6554
566,phulabani,88.99,43,0,2.42,20.4667,84.2333
567,lukaya,64.96,87,100,3.6,-0.1489,31.8748
568,taoudenni,83.32,14,2,11.52,22.6783,-3.9836
569,santarem,77.13,100,40,3.44,-2.4431,-54.7083
570,alpena,39.29,85,100,13.8,45.0617,-83.4327
571,nassau,47.12,69,0,1.99,40.7507,-73.5829
572,thurso,43.05,82,100,13.2,58.5927,-3.5259
573,evensk,25.59,84,99,4.09,61.95,159.2333
574,saryshagan,,,,,,
575,miracema do tocantins,76.1,88,92,1.95,-9.5618,-48.3967
576,valparaiso,58.48,72,0,5.75,-33.0393,-71.6273
577,dingle,86.63,68,90,10.27,10.9995,122.6711
578,celle,41.56,79,75,4.61,52.6226,10.0805
579,saint anthony,43.7,94,75,5.75,45.0205,-93.218
580,ergani,51.12,47,0,1.5,38.2653,39.7621
581,albury,60.89,88,40,8.05,-36.0833,146.9167
582,pangnirtung,13.24,89,100,3.96,66.1451,-65.7125
583,stornoway,45.37,82,5,4.61,58.2093,-6.3865
584,beausejour,30.18,98,100,6.73,50.0622,-96.5167
585,torrington,40.37,71,18,3.2,41.8007,-73.1212
586,cusuna,75.4,87,23,4.09,15.85,-85.2333
587,valley city,41.52,65,0,6.91,46.9233,-98.0032
588,mehamn,38.68,89,100,7.25,71.0357,27.8492
589,umm kaddadah,78.48,17,100,18.5,13.6017,26.6876
590,iberia,70.14,78,0,6.91,29.9502,-91.7507
591,morwa,85.93,26,100,11.61,22.9,73.8333
592,umm durman,,,,,,
593,beyneu,61.74,41,68,12.03,45.3167,55.2
594,meshchovsk,43.68,94,100,19.86,54.3244,35.2808
595,horqueta,76.96,51,78,2.66,-23.3428,-57.0597
596,vila velha,73.94,86,10,7.49,-20.3297,-40.2925
597,yumen,54.9,15,100,8.43,40.2833,97.2
598,rivera,61.7,85,0,4.94,-30.9053,-55.5508
599,kirakira,85.23,72,84,7.83,-10.4544,161.9205
600,juba,72.14,88,100,3.24,4.8517,31.5825
601,meulaboh,80.92,76,95,5.64,4.1363,96.1285
602,galiwinku,,,,,,
603,boa vista,78.78,83,75,2.3,2.8197,-60.6733
604,byron bay,70.95,68,53,8.32,-28.65,153.6167
605,jalu,63.55,27,7,8.48,29.0331,21.5482
606,chamrajnagar,76.91,77,67,5.3,11.9167,76.95
607,lake cowichan,42.53,99,100,3.6,48.825,-124.0546
608,lolua,,,,,,
609,sitka,49.89,62,40,12.66,57.0531,-135.33
610,kavieng,84.22,74,100,13.13,-2.5744,150.7967
611,blagoyevo,22.89,93,49,5.28,63.3667,47.9167
612,uri,59.05,82,100,7.85,34.0833,74.0333
613,sabang,82.65,73,99,7.09,5.8933,95.3214
614,sharjah,71.58,94,17,5.75,25.3573,55.4033
615,lusambo,69.58,99,100,2.15,-4.9667,23.45
616,gandajika,67.39,97,100,2.95,-6.75,23.95
617,kununurra,89.58,31,46,12.66,-15.7667,128.7333
618,skibbereen,50.11,81,100,15.21,51.55,-9.2667
619,tiznit,51.84,75,25,5.97,29.5833,-9.5
620,beirut,61.54,67,75,3.44,33.8889,35.4944
621,shenzhen,77.74,86,87,1.01,22.5455,114.0683
622,grootfontein,53.64,67,71,6.55,-19.5667,18.1167
623,colesberg,56.44,55,64,3.36,-30.72,25.0972
624,urengoy,10.24,92,100,15.08,65.9667,78.3667
